tweets,languages_spacy,languages_langdetect
RT @MansuyDiane: #DevoxxFR Comment se faire hacker bien comme il faut avec @JulienTopcu https://t.co/Hlqvlet4t4,unknown,fr
@Audrey_Neveu @DevoxxFR @rebouhnassim pour toi mister 👍 tu vas kiffer !,fr,af
"Feedback d'un participant dans le système de vote de #devoxxfr  : ""Me donne envie de me remettre à java EE et de fa… https://t.co/Mr52rARgnA",unknown,fr
Un grand merci à tous les gilets et t-shirts rouges !!! https://t.co/rqpErwmwY3,en,fr
"@DevoxxFR Merci de nous avoir! C’était très amusant!
/CC @TomVdBulck @TYsewyn",fr,fr
"RT @TalanLabs: Des Labiens heureux réunis pour le dernier jour de @DevoxxFR !
#DevoxxFR
cc. @Devoxx https://t.co/ZDeatdtNla",fr,fr
Devoxx FR c'est avant tout une équipe https://t.co/JPm83ZuJKh,fr,fr
Merci à toute l'équipe organisatrice #DevoxxFR c'était vraiment cool :D https://t.co/VcOA9vKkEG,fr,fr
Merci @DevoxxFR pour cet événement qui nous apporte de la fraicheur dans notre quotidien et surtout qui nous donne… https://t.co/OU2HXs1ZGi,fr,fr
RT @fabricemathis: La délégation Lectra - étendue - à #DevoxxFR ⁦@LectraOfficial⁩ https://t.co/m6INMswSRx,unknown,fr
@romaintaz @DevoxxFR @LostInBrittany @ChristianFaure @jollivetc @_JeremyVoisin_ @fcamblor @AlainHelaili @jpetazzo… https://t.co/8VFUAsD8AQ,unknown,fi
RT @cdossal: @OxianeIT &amp; @DevoxxFR #pickoftheday 😊 https://t.co/RbwukhXhBz,en,en
"RT @CriteoEng: We had a blast at @DevoxxFR, thanks all for the discussions, the ambience, the laughing parts!
See you soon! https://t.co/9f…",en,en
RT @fsarradin: Merci @DevoxxFR. C'est toujours un plaisir de retrouver des connaissances et de parler #Scala,fr,fr
RT @bclozel: Encore une superbe édition de @DevoxxFR - beaucoup de conférences et de rencontres en si peu de temps. Merci aux organisateurs…,fr,fr
"RT @JulienTopcu: @DevoxxFR s'est fini 😭

N'oubliez pas de donnez vos feedbacks dans l'appli! C'est vraiment utile pour améliorer nos talks…",fr,fr
RT @RamadalDiallo: @DevoxxFR the dream 🙏🙏,en,en
RT @felix_billon: @DevoxxFR pour les grands c'est finit ! Merci aux organisateurs et aux speakers pour le super taff ! Demain place aux jeu…,fr,fr
RT @marie_chacun: 🔛Corporate jusqu'au devant de la scène avec son Tshirt #AXA ! 📢Notre @guiChervet national est #Ready pour parler #API ! #…,fr,fr
"RT @celinegilet: @DevoxxFR, voici les inputs pour le Hands-On Lab ""D'une architecture N-Tiers à une architecture Clean Hexagonale"" - Salle…",unknown,fr
Énorme le tirage avec softeam :) merci pour la trottinette électrique !! Passé un super moment au @DevoxxFR https://t.co/fQmJFE6VkV,fr,fr
@gauthier_poulet @MAIF @DevoxxFR Le pic c'est une dédicace à @jerome_poupault ?,fr,fr
"RT @karesti: Remote first, remote pair programming, wormhole #DevoxxFr @DevoxxFR @morlhon https://t.co/4ySEnVZodF",en,en
"De loin, ça avait l’air bien #DevoxxFr .

C’est quoi votre top 3 pour qu’on puisse savoir quelles vidéos regarder e… https://t.co/Q1yPHQTD4D",fr,fr
RT @grumpyf0x48: Retour d'expérience très intéressant sur l'utilisation de Gradle avec un projet Kotlin de @JeremMartinez et @dwursteisen à…,fr,fr
"RT @s_leclercq: Let's see what Gradle tips @JeremMartinez and @dwursteisen learned during their projects #DevoxxFR
@ekino_France",en,en
"Un @DevoxxFR de plus. Du kiff en stock. Toujours de belles rencontres et des revoyures !
Merci (entre autres) aux p… https://t.co/0iJyVu1uv5",fr,fr
"RT @grallcorentin: Ce 1er @DevoxxFR fut très enrichissant en terme de connaissances et de rencontres, à l'année prochaine pour un autre Tal…",fr,fr
@qlo2 @DevoxxFR Une photo?,en,it
Merci l'équipe @DevoxxFR encore une belle réussite. A l'année prochaine,fr,fr
"Merci @DevoxxFR #DevoxxFR
 
C'est meilleur d'année en année
Allez on s'engage tous à 
- Appliquer des trucs qu'on a… https://t.co/lo5CvFskua",fr,fr
@dedece35 @DevoxxFR @PagesJaunesTech https://t.co/XAvuqoxcd5,unknown,de
"Hey folks attending #DevoxxFr, checkout @davidmytton’s @humanops talk today! It’s about the human side of DevOps",en,en
@Devoxx @DevoxxFR Je pensais pas à si peu ! Hâte de voir ou revoir ça sur YouTube !,fr,fr
"@DevoxxFR Merci à vous, c'était top.",fr,fr
"Les slides et le code de mon quickie à #DevoxxFR sur @vega_vis : https://t.co/SH9KlrvE7q, la version finale de la d… https://t.co/Ce6jdbLwLv",en,fr
@GuiF007 @DevoxxFR Seulement 200Gb 👍😎,fr,nl
RT @altolabs: quand tu es à quelques minutes de faire ta présentation sur #kubernetes et #GKE pour @DevoxxFR dans l'amphi bleu du Palais de…,fr,fr
Sans doute une des activités les plus oufs de ce #DevoxxFR. Y’a vraiment de quoi faire niveau création musicale ave… https://t.co/WadWOmRPLi,fr,fr
Merci @DevoxxFR. C'est toujours un plaisir de retrouver des connaissances et de parler #Scala,fr,fr
Encore une superbe édition de @DevoxxFR - beaucoup de conférences et de rencontres en si peu de temps. Merci aux or… https://t.co/0EQKNTw5H4,fr,fr
Trois jours mémorables ! Merci @DevoxxFR &amp; @ekino_France. Et qu'elle dernière journée :) ! https://t.co/zdkd1Kr95X,fr,fr
"Had a great time at #devoxxfr, for me the stand out talks were by @holly_cummins and @speakJava. Had some good chat… https://t.co/UiA1dBLd3P",en,en
"@romaintaz @jollivetc @DevoxxFR @ApsideGroupe @romaintaz, on va le mettre à dispo d’ici peu, on te tiens au courant 🙂",unknown,fr
@ippontech @DevoxxFR @WylMarq @juliensadaoui @VMaleze @juliendubois @jhipsterconf @remiccl Le petit coup de main du… https://t.co/UrO0aek1Am,unknown,fr
RT @bluxte: Full house for my talk about Java and JVM internals at @DevoxxFR ! https://t.co/m5rrUs1u6t,en,en
@jollivetc @DevoxxFR @_JeremyVoisin_ @ApsideGroupe Petite question pour toi : le code de votre démo est dispo quelque part ?,fr,fr
RT @khrys63: Ce moment où tu sais que le #DevoxxFr est fini. Merci et à l'année prochaine @DevoxxFR https://t.co/RzOxHn5qrp,fr,fr
"I want to thank all French @DevoxxFR speakers for using English slides in their talks. 👍
It helped me to comprehend… https://t.co/4o2mC8ZHaH",en,en
"@DevoxxFR s'est fini 😭

N'oubliez pas de donnez vos feedbacks dans l'appli! C'est vraiment utile pour améliorer nos… https://t.co/ZIAyqrtQhN",fr,fr
@DevoxxFR the dream 🙏🙏,en,en
Ce moment où tu sais que le #DevoxxFr est fini. Merci et à l'année prochaine @DevoxxFR https://t.co/RzOxHn5qrp,fr,fr
@DevoxxFR Le faites pas tomber !,fr,fr
"RT @fteychene: En pleine répet de mon talk @rustlang @DevoxxFR , IntelliJ qui pete les plomb et décide que les shortcut c'est plus pour lui…",fr,fr
"RT @francoissamin: Grosse affluence pour découvrir #venom de @ovh_fr à @DevoxxFR. @yesnault, dessine-moi un vrai test d’intégration ! https…",fr,fr
"#DevoxxFR Merci! Rencontres, partages d'experience,  bienveillance, transmission de savoir... J-363 pour le prochain?",fr,fr
"RT @akhesaCaro: Deuxième journée au #DevoxxFR ! Après 3 super #keynotes , maintenant on parle #Jeuxvideo !! @sii_ouest https://t.co/En1U3yk…",fr,fr
@wildagsx @DevoxxFR Allez... dans notre grande mansuétude nous te permettons se ne reprendre ton legacy que mardi 😊,fr,fr
RT @karesti: Working from home with @morlhon @DevoxxFR #DevoxxFr ❤️❤️❤️❤️ https://t.co/ESio9af3uK,en,en
@JeremieDrouet @DevoxxFR Je l'ai fait pour 2!,fr,fr
@NicoSavois @DevoxxFR Arf j'ai pas pu venir troller...,unknown,fr
RT @NicoSavois: Merci @DevoxxFR c'était super! Merci a toute la famille. J'ai hâte de vous revoir !,fr,fr
"Merci @DevoxxFR, super organisation, super conférences, de la bonne ambiance, et merci pour votre confiance. 
Sur u… https://t.co/uNRtNogLhW",fr,fr
RT @KY_F: Un amphi full pour @guiChervet !!! 😍🤩. Ready pour apprendre plus sur l’API REST 🍿 #AXA #DevoxxFR https://t.co/hay2coeaV6,unknown,fr
@DevoxxFR pour les grands c'est finit ! Merci aux organisateurs et aux speakers pour le super taff ! Demain place a… https://t.co/b6RIIUsnDk,fr,fr
@DevoxxFR Ne l'égarez surtout pas !!,fr,fr
RT @arawak971: Merci à toute l’équipe @DevoxxFR pour cette journée intense !!! @sii_ouest #GoodConfOnly,fr,fr
@vmassol @lescastcodeurs @DevoxxFR De tout cœur avec toi Vincent,fr,fr
@DevoxxFR C’est tout ? 1To ?,fr,fr
"@lbroudoux @YadaYac @DevoxxFR @nmasse_itix @apicurio @microcksio @openshift Encore bravo pour votre talk , faudra v… https://t.co/ghGAZ6Vu4U",unknown,en
"RT @volkaert: Merci @DevoxxFR pour cette nouvelle édition avec encore une fois une organisation au top ! Bon, je pense avoir compris qu'il…",fr,fr
"Dis, @DevoxxFR, c'est quoi ? 😊 https://t.co/2O1ZuvXMNA",unknown,fr
Encore un départ de @DevoxxFR la tête pleine d'idées et de choses à tester ! Ça commence à devenir de plus en plus… https://t.co/sqtEI4RBiU,fr,fr
@jgrodziski @DevoxxFR Il faut que l'on continue à en faire régulièrement !,fr,fr
"5 min before my talk at #DevoxxFR  about #Bazel.
Hope you enjoyed it 😀 https://t.co/REMz0F73bH",en,en
"""Ouais mais tu sais #DevoxxFR c'est très back /cloud /ops"" 🤔

J'en reviens très motivé par des talks sur TypeScript… https://t.co/5diKSDTh3M",fr,fr
RT @cgodard: What is agile? by @RunningChairJB #DevoxxFR https://t.co/AylrdrA4P7,en,en
"RT @cgodard: ""Agile is not something that you do. It's a mindset"" by @RunningChairJB during his talk ""Agile is a dirty word"" #DevoxxFR http…",en,en
"RT @cgodard: Merci à tous les speakers de #DevoxxFR pour vos talks qui vont nourrir nos projets actuels et futurs, aux organisateurs pour c…",fr,fr
"RT @s_leclercq: Tweetstorms are over, you should have some peace with notifications now ;) I will sleep for 12 hours. See you next year @De…",en,en
"Nouvelle édition de @DevoxxFR  au top 👍. Bravo aux orgas 👏 et aux orateurs 👏.
Batteries rechargées jusqu'à...... 🤔
l'année prochaine.",fr,fr
"Merci l'équipe @DevoxxFR encore une bonne conference, à l'an prochain. 😄  

#conference #dev #it #Paris #devoxxfr https://t.co/SuIvvl815s",en,fr
@DevoxxFR 2019 Videos 🎉🎉🎉 https://t.co/DMYqwWzPWv,en,es
"RT @OasisAllergies: #cfa2019 #DevoxxFR Un jeu vidéo sérieux pour gérer la crise d’asthme de son gamin :
https://t.co/9YlkaJ7w8y",fr,fr
"RT @wildagsx: Ça y est pour moi le @DevoxxFR 2019 c'est fini. Comme toujours je rentre avec plein d'étoiles et d'envies !
Lundi retour au l…",fr,fr
"@jollivetc @DevoxxFR @ApsideGroupe Merci à toute l’équipe de @DevoxxFR, à toutes les personnes de l’organisation et… https://t.co/7M97XePPHJ",fr,fr
"L’@Adieorg au #DevoxxFR pour faire le plein de technos, d’idées et de motivation. Un grand 🙏 pour les organisateurs… https://t.co/uBblOzsccO",unknown,fr
Bye bye @DevoxxFR 2019 !!! https://t.co/JDpcHzzaNj,en,no
RT @noel_mace: @baptistemesta nous présente comment il a intégré un DSL pour modéliser des processus dans Bonita avec #kotlin au #DevoxxFR…,fr,fr
"Merci à toute l'équipe de gilet rouge de @DevoxxFR  pour cette édition réussie, aux gens qui sont venus à notre pré… https://t.co/rFWgqGIib1",fr,fr
RT @PowershellZ: Nous étions aujourd’hui à la conférence @DevoxxFR sur le stand de @microsoftfrance ! On vous donne donc rendez-vous l’anné…,fr,fr
RT @touret_alex: Techniques de manipulation #DevoxxFR https://t.co/Piqsqj89Or,en,fr
"RT @pyaillet: 👍 Merci d'être venus nous voir parler de @ciliumproject avec @eric_briand au @DevoxxFR !
Les slides 📊 sont dispos ici: https:…",fr,fr
RT @duchessfr: Les @duchessfr sont présentes en force à @DevoxxFR 💪 n’hésitez pas à venir nous voir durant le BOF Duchess à la mezzanine ha…,fr,fr
"RT @kanedafromparis: Les slides de notre université sont en ligne (@jcsirot ) ""Application LifeCycle Management” sed /sLifeCycle/Patch/g ar…",fr,fr
"Première fois à @DevoxxFR, superbe découverte et excellente journée. Merci à @ApsideBordeaux et @ApsideGroupe pour… https://t.co/8aTEUhzmGX",fr,fr
"RT @fcamblor: Merci à tou(te)s d'être venu(e)s à mon talk @DevoxxFR sur les Dates !

Les slides sont dispos ici : https://t.co/grD9AANt4I…",unknown,fr
Devoxxfr – Votre API web passe-t-elle les 50 points du contrôle technique ? https://t.co/d4Hls60gyx,fr,fr
RT @duchessfr: Une petite photo souvenir avec les #duchessfr #womenintech #DevoxxFR http://t.co/HAfjBReRBs,unknown,fr
RT @EmericGrangette: Beau sujet. J’ai hâte. #DevoxxFR https://t.co/jJdgYgVID4,unknown,fr
@ippontech @DevoxxFR @WylMarq @juliensadaoui @VMaleze @juliendubois @jhipsterconf @remiccl Encore une très belle éd… https://t.co/gk8CsEgTbH,unknown,fr
RT @jumege: I think @miguelvaldes should try the escape room 😏 who wants to teamup? #DevoxxFR @bonitasoft https://t.co/PmM6RP1eTq,en,en
Merci @DevoxxFR c'était super! Merci a toute la famille. J'ai hâte de vous revoir !,fr,fr
"RT @finaxys: ""Avec PKS,  déployez, corrigez et mettez à niveau tous les clusters Kubernetes de votre système, sans temps d'arrêt"". @DevoxxF…",fr,fr
"Et voilà #devoxxfr c'est fini, encore 3 jours super fait de rencontres et de découvertes. Des nuits blanche en pers… https://t.co/1TSNlYJSAI",fr,fr
"@tgrall @Devoxx @grallmalo @grallcorentin @DevoxxFR @rhdevelopers JK, you are a handsome dude too! 👊",en,en
"Merci @DevoxxFR ! Super confs, mais comment je vais pouvoir dormir maintenant ? Il y a tellement de nouvelles choses à expérimenter 😃",fr,fr
Retour sur notre session @DevoxxFR 👍 https://t.co/MNcBBcLpn6,en,fr
RT @cpoissonnier: Beau modèle de KISS et YAGNI chez @Doctolib. Pas nécessairement besoin d'une architecture microservice et d'être dans une…,fr,fr
Merci à toute l'équipe de @DevoxxFR pour l'organisation et la qualité des sujets. Vivement la prochaine !,fr,fr
RT @gsoldera: Les slides de mon tools-in-action sont disponibles sur https://t.co/bDOCCSs3tg et le code des démos est disponible sur https:…,fr,fr
RT @TrevorReznik: Notre présentation sur Web Crypto API à #DevoxxFR avec @FedySalah est dispo ici: https://t.co/5TXF3muDLA et vous pouvez r…,fr,fr
RT @StrangeCousin: Et c'est parti pour les nouveautés #React avec ⁦@benjamin_cavy⁩ et ⁦@YvonnickFrin⁩ à #DevoxxFR ! https://t.co/qJb7DdqNLH,fr,fr
Devoxxfr – Les multiples facettes du logging dans les conteneurs Docker https://t.co/SsLK9aLwLH,unknown,fr
"Encore un énorme bravo à toute l’équipe de #devoxxfr , les gilets rouges, les techniciens audio/vidéo , les partici… https://t.co/JPaXJqHWP8",fr,fr
@arungupta @Devoxx @grallmalo @grallcorentin @DevoxxFR @rhdevelopers Yeah it could one come from her,en,en
"@tgrall @Devoxx @grallmalo @grallcorentin @DevoxxFR @rhdevelopers Super cool, handsome boys! Looks from your wife? ;)",en,en
@volkaert @DevoxxFR @QuarkusIO C'est clair :p,fr,fr
"RT @Fraise_des_bois: Merci l'équipe @DevoxxFR encore une belle réussite, de chouettes sujets, des bof pas bof, des rencontres extra
Reposez…",fr,fr
RT @clemstoquart: Une belle édition de @DevoxxFR se termine. A l'année prochaine 😃,fr,fr
RT @CyrilDS86: @JulienTopcu Bravo pour les 2 talks 👍 une grande fierté de voir la Société Générale à Devoxx à travers toi . Superbe confére…,fr,fr
RT @olduv: La top CM de @takimafr en plein effort ! #DevoxxFr #Happy@Work @DevoxxFR https://t.co/z8hci1eKwn,en,nl
@cecilefreydf @berthel350 @DevoxxFR super prez merci à vs deux,en,fr
RT @sbovo: Super conferences merci @DevoxxFR #DevoxxFR!! A l'année prochaine 😉 https://t.co/f9dGIAYQQn,en,fr
RT @davinkevin: Dans quelques minutes @lescastcodeurs à @DevoxxFR #Devoxxfr https://t.co/sgizgRjYsV,unknown,fr
RT @WylMarq: Thanks @DevoxxFR for those amazing 3 days ! Really enjoyed talking there and meeting alot of new people ! Next step ➡️ @mixitc…,en,en
RT @alias0ft: @DevoxxFR thank you !!! https://t.co/tXhf99dHJ8,en,en
RT @idriss_neumann: Ten years with @lescastcodeurs at @DevoxxFR! Keep up the great work https://t.co/3WpjhNAvxI,en,en
Une belle édition de @DevoxxFR se termine. A l'année prochaine 😃,fr,fr
"RT @remaud: Un super salon @DevoxxFR  qui se fini en beauté 😀 :
Merci @Mirakl_FR  pour la switch
Merci @BredFactory pour le skate
#DevoxxFR",en,fr
"Dernière journée à @DevoxxFR 2019 et quelques photos ici : https://t.co/RvJJW88pjs
Merci encore @jfrog pour l'invit… https://t.co/KNh3WhT66U",fr,fr
RT @cdossal: Fin du @DevoxxFR  2019 @OxianeIT  @lescastcodeurs ! https://t.co/aznBUIkRX3,unknown,fr
RT @idriss_neumann: @jfrog platform at @DevoxxFR https://t.co/UYSjaABYQI,en,no
RT @idriss_neumann: New features by @jfrog at @DevoxxFR https://t.co/tcLSyLDmb5,en,en
RT @soufatn: Fin de @DevoxxFR édition 2019 ! Merci @SoatGroup et toute l'équipe #SOAT @ClaireLevenez @PriscilliaSOAT @CecileHbh @michelle_a…,fr,fr
@cecilefreydf @DevoxxFR Merci à toi ! On l'a enfin fait notre talk code &amp; design :-),fr,fr
"RT @benjamin_cavy: Super fier d'avoir été speaker au @DevoxxFR cette année, bravo pour l'organisation et merci pour tout ! #DevoxxFR",fr,fr
"@CyrilDS86 @DevoxxFR Non, déso, il faut attendre la vidéo 😉",fr,fr
@momichel @DevoxxFR 😂,unknown,nl
"Merci l'équipe @DevoxxFR encore une belle réussite, de chouettes sujets, des bof pas bof, des rencontres extra
Repo… https://t.co/vlDGUykW4T",fr,fr
Devoxxfr – Passez la cinquième avec JUnit https://t.co/Aujk2kkNZJ,fr,fr
Merci à tous les auditeurs @lescastcodeurs à #DevoxxFR !!! https://t.co/t3chVgbAcN,en,fr
"RT @spontoreau: It's the end! It was an amazing @DevoxxFR! 

Thanks to all developers who spent some time to talk with me on #TypeScript #A…",en,en
@JulienTopcu Bravo pour les 2 talks 👍 une grande fierté de voir la Société Générale à Devoxx à travers toi . Superb… https://t.co/63rjDFwBKl,fr,fr
RT @lescastcodeurs: C'est pas beau çà #Merci Épisode live à @DevoxxFR https://t.co/yVJLxq0VOz,fr,fr
RT @lecrocgu: Merci @DevoxxFR pour ce rendez vous 2019. Toujours autant de sujets passionnants qu'on espère appliquer en rentrant... Ou pas…,fr,fr
"RT @zepag: Salut @devoxxfr, à la revoyure ! Des bises à tous celles et ceux que je n'ai pas pu saluer avant mon départ ! Encore une super é…",fr,fr
RT @idriss_neumann: And this is the end for @DevoxxFR 2019 😢 See you next year. https://t.co/rpsryOFrRK,en,en
RT @holly_cummins: Applause even in the overflow room for @jpetazzo ‘s #DevoxxFr talk on his depression and burnout. As a community we’re l…,en,en
RT @volkaert: @idriss_neumann @rbrtwnklr @netflix @DevoxxFR Sure. Slides are available here: https://t.co/KVR9TjY5Xv,en,no
"RT @mimigreg: @DevoxxFR Merci à toute l’équipe, 8 éditions de pur plaisir ! Vous êtes top !",fr,fr
"RT @charlyouki: Merci @DevoxxFR , une édition 2️⃣0️⃣1️⃣9️⃣ au🔝 et des sujets de qualité👌 💻 (surtout ceux sur @vuejs)

Toujours un plaisir d…",fr,fr
RT @mimigreg: @Audrey_Neveu @DevoxxFR Merci d’avoir pris ce temps pour nous. T’es talks sont proches de la perfection,fr,fr
RT @cecilefreydf: Le passage à l'âge adulte ! Merci @berthel350 ! #designsystem #DevoxxFR @DevoxxFR https://t.co/JIW9s8uo1e,unknown,fr
@lecrocgu @DevoxxFR Merci ! J'ai posté le lien vers les slides peu après https://t.co/fFv3UMet2B,fr,fr
"RT @im_flog: #DevoxxFr c'est fini pour cette année et encore une fois c'était super 👌
Encore merci aux organisateurs pour la confiance 3 éd…",fr,fr
Devoxxfr – GraalVM et Quarkus changent la donne https://t.co/dZ8gfpxgXX,en,nl
RT @collignont: @altolabs @AlexisD54 @DevoxxFR J'adore la photo t'assures Alain merci,en,ca
RT @JPhi_Baconnais: @DevoxxFR Merci à l'équipe ! C'était top 👍 A l'année prochaine !,fr,fr
"Merci @DevoxxFR pour cette nouvelle édition avec encore une fois une organisation au top ! Bon, je pense avoir comp… https://t.co/SqKZizkEc1",fr,fr
@DevoxxFR Merci à l'équipe ! C'était top 👍 A l'année prochaine !,fr,fr
"RT @danvy: Pris en flagrant délit de bavardage 😂
#devoxxFR https://t.co/pCcaViCfqu",unknown,fr
"Devoxxfr – Back to basics, ne perdez plus votre temps avec les dates https://t.co/i9DVGIGRBX",en,fr
RT @gchenuet: Journée @DevoxxFR aujourd’hui ! Retrouvez nous sur le stand @leboncoin et à notre talk sur le bien-être au travail à 17h45 en…,fr,fr
@berthel350 @cecilefreydf @DevoxxFR Vive les 🐟,unknown,en
"Last day at #DevoxxFrance2019, it was a great experience for me.
Thanks to @DevoxxFR @ZenikaIT
#codingtheworld… https://t.co/h4u4s7MNXw",en,en
@altolabs @AlexisD54 @DevoxxFR J'adore la photo t'assures Alain merci,en,ca
RT @AmandineApside: @jollivetc @_JeremyVoisin_ @DevoxxFR Gros succès ! https://t.co/7imj53iGsi,unknown,ca
"Slide + sample du talk #devoxxfr sur les Hooks  : https://t.co/1rhbgMIg2B ….
Hésitez pas à me faire des feedbacks s… https://t.co/FhiZH90f2H",en,fr
"#DevoxxFr c'est fini pour cette année et encore une fois c'était super 👌
Encore merci aux organisateurs pour la con… https://t.co/joJvyrNFHV",fr,fr
Devoxxfr – le web et ses frameworks https://t.co/o3rV1ZZeQp,en,af
RT @ptibulle: L’UX dans la création de jeux vidéo par @CeliaHodent à #DevoxxFr en #sketchnote #fortnite https://t.co/EkhVqQTfrl,fr,fr
RT @karesti: Human ops by @davidmytton @DevoxxFR #DevoxxFr https://t.co/t0cr6rgzOn,en,da
Le passage à l'âge adulte ! Merci @berthel350 ! #designsystem #DevoxxFR @DevoxxFR https://t.co/JIW9s8uo1e,en,fr
@Audrey_Neveu @DevoxxFR Merci d’avoir pris ce temps pour nous. T’es talks sont proches de la perfection,fr,fr
"Merci @DevoxxFR , une édition 2️⃣0️⃣1️⃣9️⃣ au🔝 et des sujets de qualité👌 💻 (surtout ceux sur @vuejs)

Toujours un p… https://t.co/6SCBI7Ehcs",fr,fr
Super conférence de @delabassee sur @java et container comme @docker à @DevoxxFR. Exemple d'astuce : Utilité de… https://t.co/pk72Qeu6I9,fr,fr
@idriss_neumann @rbrtwnklr @netflix @DevoxxFR Sure. Slides are available here: https://t.co/KVR9TjY5Xv,en,no
"RT @_christ_off_: Le ""hands On"" @reactjs avec le coding local ou en ligne
avec le site qui va bien et les exercices à faire à la maison.
pa…",en,fr
Malade aujourd'hui. Un peu honteux d'avoir abandonné l'équipe des polos rouges de #DevoxxFR et mes collègues de… https://t.co/T91KIIjhkj,fr,fr
@rbrtwnklr @idriss_neumann @netflix @DevoxxFR Sure. Slides are available here: https://t.co/KVR9TjY5Xv,en,no
"Les slides de mon talk #DevoxxFR 2019 ""Faites comme #Netflix, abandonnez #Hystrix !"" (#Resilience4j,… https://t.co/76YiVwKcK6",fr,fr
@vcassotti @DevoxxFR @springboot @r2dbc Merci pour ton retour ☺️,fr,it
"Merci @DevoxxFR pour ces 3 journées riches en découvertes et en partages, avec une organisation au top ! Gros coup… https://t.co/JxZ2YH4XEk",fr,fr
"RT @sunsengdavidtan: Faites comme @NetflixFR , @volkaert va nous parler de résilience et circuit breaking em quickie #DevoxxFR https://t.co…",fr,fr
Devoxxfr – du réactif au service du pneu connecté https://t.co/StRUd7Oyod,en,fr
"@DevoxxFR Merci à toute l’équipe, 8 éditions de pur plaisir ! Vous êtes top !",fr,fr
"Cette édition de #DevoxxFR était vraiment genial !

J'ai eu l'occasion d'avoir des échanges enrichissant avec plein… https://t.co/SQuf7uazwQ",fr,fr
Merci et à l'année prochaine https://t.co/1HpgBjS9il,fr,fr
@sdeleuze @DevoxxFR @springboot @r2dbc pour moi c'était le meilleur talk de mon devoxx 2019 ... j'ai beaucoup appri… https://t.co/qR2mwpIhAV,fr,fr
"@cecilefreydf et moi, on a parlé d'interfaces différenciantes grâce aux #designSystem à travers une application de… https://t.co/CIQT9WZUS2",unknown,fr
"@estelandry @PierreZ @DevoxxFR For sure He had some cats and space stuff in slides ,is that true @PierreZ ?",en,en
Merci pour ces bons moments @DevoxxFR Les gilets rouges ont encore une fois assuré! 👍,fr,fr
"RT @aheritier: Tout le monde dort, je peux poser une question discrètement: il est comment le programme 2019 de #devoxxfr ?",fr,fr
"Devoxxfr – Le bonheur au travail, au-delà du bullshit https://t.co/mA2EXUJAM3 https://t.co/H8AQmDNSe8",en,fr
"RT @romaintaz: Bon, il y a 2-3 personnes pour écouter @morlhon parler de télétravail efficace à #DevoxxFR ! https://t.co/1NkCechjCv",fr,fr
Nous étions aujourd’hui à la conférence @DevoxxFR sur le stand de @microsoftfrance ! On vous donne donc rendez-vous… https://t.co/EoxwUxiGAQ,fr,fr
#Devoxxfr déjà terminé... petit break sous le soleil parisien pour un premier brainstorming à chaud avant de se pré… https://t.co/IziLYQ8Nly,fr,fr
And this is the end for @DevoxxFR 2019 😢 See you next year. https://t.co/rpsryOFrRK,en,en
Merci @DevoxxFR c'est toujours une super occasion de revoir la famille dans un cadre top et une organisation impeccable. Des 😘,fr,fr
#DevoxxFr #devoxx #tech https://t.co/SQRMb4J0nx,en,nl
@bluxte @DevoxxFR Merci pour ce talk accessible à tous ! Un lien vers les slides?,fr,fr
@Kadorito @jfrog @lescastcodeurs @DevoxxFR Merci à @jfrog et aux @lescastcodeurs !!,lb,fr
"Salut @devoxxfr, à la revoyure ! Des bises à tous celles et ceux que je n'ai pas pu saluer avant mon départ ! Encor… https://t.co/IB2bAvPhhH",fr,fr
Thinking with Hands Highlights @BredFactory: '#SketchNotes sur la conférence « Créer et développer une communauté o… https://t.co/3FkoHL8Y32,fr,fr
Merci @DevoxxFR pour ce rendez vous 2019. Toujours autant de sujets passionnants qu'on espère appliquer en rentrant... Ou pas 😂,fr,fr
"RT @desmfr: Un stand qui déchire, des sociétaires fans de nos travaux, des devs curieux de découvrir ce qu'on fait, encore un beau #DevoxxF…",fr,fr
#DevoxxFR is over. See you next year! 👋 Which talk did you enjoy the most? Which one you dislike? (Wanna be discree… https://t.co/c2wE1lvMsG,en,en
Merci à toute l’équipe @DevoxxFR pour cette journée intense !!! @sii_ouest #GoodConfOnly,fr,fr
@cdams86 @DevoxxFR Arf une megane ! #renault,unknown,de
"quand @collignont et @AlexisD54 présentent leur passage de Java 8 à Java 11 sur un gros projet à @DevoxxFR, ça inté… https://t.co/3BR7Zfy6JK",fr,fr
C'est pas beau çà #Merci Épisode live à @DevoxxFR https://t.co/yVJLxq0VOz,fr,fr
"Merci @DevoxxFR pour une super semaine, bravo à toute l'équipe pour l'accueil et la bienveillance et à l'année prochaine",fr,fr
"Hey #DevoxxFR! Save 40% on #java9, #modules, #KafkaStreams, #kubernetes, #kotlin, and other books and videos with c… https://t.co/M6424izrE8",en,en
"Thank you so much everyone for attending my talk at #DevoxxFr, about #Kubernetes &amp; #Docker from a security perspect… https://t.co/965U2Xy8QL",en,en
@rbrtwnklr @volkaert @netflix @DevoxxFR I haven't the best quality of the slides but all @DevoxxFR talks with slide… https://t.co/5S9o5T2yfv,en,en
"#DevoxxFR : Merci à toute l'equipe @DevoxxFR pour cette super organisation !

Merci à notre équipe standiste pour l… https://t.co/pf6C4RWcBk",fr,fr
